Rotor: R1-9x0d(90), Hopper: H0, RPM: 5.208333, Dose: 100.000000, Logger_Version: 0.2
x, y, z, size, die_time 
-39.547623, -4.064096, -98.684464, 1.315545, 619.828613 
-0.213838, -1.164168, -98.578491, 1.421505, 485.658966 
-20.074963, -18.952896, -98.562309, 1.437696, 480.434174 
-10.592182, -27.997269, -98.916252, 1.083749, 766.945435 
-27.646080, -25.024555, -98.879143, 1.120861, 761.266846 
42.560783, -22.270021, -99.021355, 0.978642, 480.692993 
-6.972409, -15.601541, -98.782600, 1.217398, 480.539124 
10.207142, -13.865183, -98.370430, 1.629565, 495.650635 
-38.369953, -1.452761, -98.081909, 1.918080, 497.062927 
-21.273380, -22.956749, -98.723717, 1.276281, 479.514526 
-38.676979, -11.725515, -98.937683, 1.062316, 763.797729 
-29.362379, -9.622387, -98.213257, 1.786747, 646.692627 
-31.039196, -6.963190, -98.106140, 1.893861, 509.097656 
-24.991734, -12.436436, -98.051132, 1.948858, 506.705048 
-25.272213, -17.336128, -98.262909, 1.737098, 784.779846 
-10.091473, -21.594131, -98.491241, 1.508754, 486.157532 
-39.011345, -2.564278, -98.550064, 1.449940, 484.436615 
-29.134474, -2.855503, -98.165161, 1.834833, 515.890320 
-20.158485, -13.406042, -98.160980, 1.839023, 498.049286 
-22.463470, -4.467884, -98.964157, 1.035847, 617.195129 
16.447893, -6.889019, -98.962807, 1.037196, 765.991333 
-23.616875, -12.134333, -98.679794, 1.320196, 632.057922 
-22.369720, -12.326671, -98.065498, 1.934500, 499.813080 
-21.277740, -12.902697, -98.181793, 1.818208, 503.592194 
13.105124, -18.348488, -98.853416, 1.146585, 639.827576 
4.366110, -6.801096, -98.752823, 1.247168, 643.745178 
25.515770, -0.152284, -98.962608, 1.037387, 478.257385 
-34.681038, -13.496354, -98.978394, 1.021601, 767.408691 
-38.456718, -16.731766, -98.064110, 1.935889, 492.465912 
-40.806557, -9.870947, -98.281258, 1.718745, 933.957458 
-35.447254, -12.759546, -98.628761, 1.371239, 482.916504 
-7.925270, -22.760452, -98.748535, 1.251471, 770.872925 
-31.537758, -21.078068, -98.137329, 1.862683, 490.665314 
-11.394575, -5.025758, -98.430984, 1.569007, 500.233704 
-24.657892, -17.869186, -98.217911, 1.782091, 639.660095 
-30.841736, -2.914948, -98.188591, 1.811406, 808.987854 
-16.097324, -5.093553, -98.440224, 1.559775, 825.076721 
-28.369921, -25.109043, -98.150742, 1.849268, 636.229797 
-41.156586, -6.101881, -98.346718, 1.653276, 802.853821 
8.764729, -15.046733, -98.745590, 1.254406, 643.444031 
32.243698, -20.270540, -98.889442, 1.110554, 482.618866 
-30.834778, -19.599092, -98.264328, 1.735668, 637.894043 
-42.137558, -8.499044, -98.149788, 1.850210, 698.142822 
-19.537546, -8.880652, -98.369766, 1.630235, 789.212585 
12.811228, -10.125700, -98.662018, 1.337983, 651.742310 
-34.013973, 4.826467, -98.032394, 1.967612, 514.690002 
